legacy_make,legacy_model,legacy_variant_count,legacy_body_types,current_status,selection_decision,current_model_name,generation_action,lineup_refresh_needed,price_refresh_needed,modern_feature_refresh_needed,audited_replacement,reason,verification_source,final_selected,final_priority,refresh_effort,recommendation_role,drop_reason
Ferrari,Portofino,1,Convertible,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Fiat,Abarth Avventura,1,Crossover,make_discontinued_or_no_current_india_passenger_sales,DROP_DISCONTINUED_MAKE,,drop,False,False,False,False,Make is discontinued/absent from current Indian passenger-car market for this compact refresh scope.,,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Fiat,Abarth Punto,1,Hatchback,make_discontinued_or_no_current_india_passenger_sales,DROP_DISCONTINUED_MAKE,,drop,False,False,False,False,Make is discontinued/absent from current Indian passenger-car market for this compact refresh scope.,,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Fiat,Avventura,3,Crossover,make_discontinued_or_no_current_india_passenger_sales,DROP_DISCONTINUED_MAKE,,drop,False,False,False,False,Make is discontinued/absent from current Indian passenger-car market for this compact refresh scope.,,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Fiat,Linea,5,Sedan,make_discontinued_or_no_current_india_passenger_sales,DROP_DISCONTINUED_MAKE,,drop,False,False,False,False,Make is discontinued/absent from current Indian passenger-car market for this compact refresh scope.,,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Fiat,Linea Classic,3,Sedan,make_discontinued_or_no_current_india_passenger_sales,DROP_DISCONTINUED_MAKE,,drop,False,False,False,False,Make is discontinued/absent from current Indian passenger-car market for this compact refresh scope.,,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Fiat,Punto Evo,4,Hatchback,make_discontinued_or_no_current_india_passenger_sales,DROP_DISCONTINUED_MAKE,,drop,False,False,False,False,Make is discontinued/absent from current Indian passenger-car market for this compact refresh scope.,,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Fiat,Punto Evo Pure,2,Hatchback,make_discontinued_or_no_current_india_passenger_sales,DROP_DISCONTINUED_MAKE,,drop,False,False,False,False,Make is discontinued/absent from current Indian passenger-car market for this compact refresh scope.,,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Fiat,Urban Cross,4,Crossover,make_discontinued_or_no_current_india_passenger_sales,DROP_DISCONTINUED_MAKE,,drop,False,False,False,False,Make is discontinued/absent from current Indian passenger-car market for this compact refresh scope.,,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Force,Gurkha,6,SUV,current_or_successor_available_not_shortlisted,REVIEW_REQUIRED,Gurkha,review_if_expanding_scope,True,True,True,False,Current niche off-roader but omitted to keep shortlist broad and mass-market.,,False,DROP,HIGH,,Review-required model not promoted; does not add enough value for this small hybrid refresh.
Ford,Aspire,13,Sedan,make_discontinued_or_no_current_india_passenger_sales,DROP_DISCONTINUED_MAKE,,drop,False,False,False,False,Make is discontinued/absent from current Indian passenger-car market for this compact refresh scope.,,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Ford,Ecosport,12,SUV,make_discontinued_or_no_current_india_passenger_sales,DROP_DISCONTINUED_MAKE,,drop,False,False,False,False,Make is discontinued/absent from current Indian passenger-car market for this compact refresh scope.,,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Ford,Endeavour,3,SUV,make_discontinued_or_no_current_india_passenger_sales,DROP_DISCONTINUED_MAKE,,drop,False,False,False,False,Make is discontinued/absent from current Indian passenger-car market for this compact refresh scope.,,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Ford,Figo,6,Hatchback,make_discontinued_or_no_current_india_passenger_sales,DROP_DISCONTINUED_MAKE,,drop,False,False,False,False,Make is discontinued/absent from current Indian passenger-car market for this compact refresh scope.,,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Ford,Freestyle,8,Crossover|Hatchback,make_discontinued_or_no_current_india_passenger_sales,DROP_DISCONTINUED_MAKE,,drop,False,False,False,False,Make is discontinued/absent from current Indian passenger-car market for this compact refresh scope.,,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Ford,Mustang,1,"Sedan, Coupe",make_discontinued_or_no_current_india_passenger_sales,DROP_DISCONTINUED_MAKE,,drop,False,False,False,False,Make is discontinued/absent from current Indian passenger-car market for this compact refresh scope.,,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Honda,Accord Hybrid,1,Sedan,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://www.hondacarindia.com/,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Honda,Amaze,20,Sedan,current_in_india,KEEP_BUT_REPLACE_GENERATION,New Amaze,replace_current_generation,True,True,True,False,Official Honda page lists New Amaze; legacy generation should be replaced.,https://www.hondacarindia.com/,False,DROP,HIGH,,"Dropped to reduce sedan generation-replacement work; City, Dzire, Aura, Tigor, and Verna cover sedans."
Honda,Brv,8,SUV,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://www.hondacarindia.com/,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Honda,City,10,Sedan,current_in_india,KEEP_BUT_REFRESH_LINEUP,New City,refresh_current_lineup,True,True,True,False,Official Honda page lists New City; retain with price/lineup refresh.,https://www.hondacarindia.com/,True,DIVERSITY,LOW,sedan,
Honda,Civic,5,Sedan,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://www.hondacarindia.com/,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Honda,Cr-V,3,SUV,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://www.hondacarindia.com/,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Honda,Jazz,8,Hatchback,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://www.hondacarindia.com/,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Honda,Wr-V,9,SUV,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://www.hondacarindia.com/,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Hyundai,Aura,12,Sedan,current_in_india,KEEP_BUT_REFRESH_LINEUP,Aura,refresh_current_lineup,True,True,True,False,Official Hyundai page lists Aura with petrol/CNG.,https://www.hyundai.com/in/en/find-a-car,True,DIVERSITY,LOW,sedan,
Hyundai,Creta,18,SUV,current_audited,AUDITED_REPLACEMENT,Creta,use_audited_replacement,False,False,False,True,Audited Hyundai Creta rows are authoritative.,https://www.hyundai.com/in/en/find-a-car,True,CORE,LOW,midsize_suv,
